Permit Class Mapped,Original Zip,Original Address,Property Legal Description,Total Job Valuation,Total Existing Bldg SQFT,Project Name,Day Issued,Contractor Company Name,Contractor Zip
Residential,78756.0,4804 SHOALWOOD AVE,LOT 10 BLK 30 ROSEDALE H,0.0,0.0,4804 SHOALWOOD AVE,WEDNESDAY,Absolute Demolition Inc. main***,78630
Commercial,78731.0,7201 WOOD HOLLOW DR,LOT 1 OAK HOLLOW,5000.0,0.0,7201 WOOD HOLLOW DR,THURSDAY,Geofill Construction,78154
Commercial,78730.0,11007 FM 2222 RD,10036 A OF LOT 3 BULL CREEK PLACE ABS 640 SUR 288 PAYNE B ACR 04570 TOTAL ACR 14606,5000.0,0.0,11007 FM 2222 RD,FRIDAY,LOC Consultants Civil Division,78702
Residential,78704.0,1003 S 3RD ST,LOT 6 BLK 4 LINSCOMB  LINSCOMB,5000.0,4873.0,1003 S 3RD ST,FRIDAY,"Sandollar Enterprises, Inc.",78738
Residential,78702.0,2003 PENNSYLVANIA AVE,LOT 9 BLK 7 OLT 58 DIV B FOSTER SUBD,1000.0,500.0,2003 PENNSYLVANIA AVE,TUESDAY,,78660-2412
Residential,78731.0,5004 WEST PARK DR,LOT 43   S9FT OF LOT 44 HIGHLAND VILLAGE SEC 1,5000.0,829.0,5004 WEST PARK DR,FRIDAY,David Whitworth Development Company,78757
Residential,78745.0,4307 JINX AVE,N50FT OF LOT 2 BLK D BANISTER ACRES SEC 2,5000.0,1016.0,4307 JINX AVE,FRIDAY,,78745
Residential,78756.0,5403 SHOALWOOD AVE,S50FT OF LOT 13 BLK 3 SHOALMONT ADDN RESUB,0.0,1016.0,5403 SHOALWOOD AVE,THURSDAY,DAR Construction,78714-2028
Residential,78756.0,5403 SHOALWOOD AVE,S50FT OF LOT 13 BLK 3 SHOALMONT ADDN RESUB,0.0,240.0,5403 SHOALWOOD AVE,THURSDAY,DAR Construction,78714-2028
Residential,78702.0,2600 CANTERBURY ST,S 97FT OF LOT 16 BLK 5 OLT 4142 OLT 53 DIV O RIVERVIEW ADDN,0.0,672.0,2600 CANTERBURY ST,FRIDAY,Square Business Investments,78725
Residential,78702.0,2600 CANTERBURY ST,S 97FT OF LOT 16 BLK 5 OLT 4142 OLT 53 DIV O RIVERVIEW ADDN,0.0,180.0,2600 CANTERBURY ST,FRIDAY,Square Business Investments,78725
Residential,78703.0,3204 MEREDITH ST,LOT 56  E 25 FT OF LOT 55  W 20 FT OF LOT 575859 TARRY TOWN NO 4,0.0,2242.0,3204 MEREDITH ST,TUESDAY,Southwest Destructors****MAIN***,78763
Commercial,78725.0,6500 TRACOR LN BLDG 1,LOT 2A TRACOR INDUSTRIAL SUBD AMENDED,250000.0,98000.0,6500 TRACOR LN BLDG 1,MONDAY,"Sisk-Robb, Incorporated",78646
Residential,78704.0,504 E MONROE ST,LOT 3 BLK 12M FAIRVIEW PARK,2500.0,0.0,504 E MONROE ST,MONDAY,The Donavan Paul Co.,78755
Residential,78746.0,1406 ROCKCLIFF RD BLDG BD,ABS 72 SUR 1 BROWN W ACR 1020,10000.0,2500.0,1406 ROCKCLIFF RD BLDG BD,THURSDAY,,
Commercial,78724.0,8016 OLD MANOR RD,LOT 18 NORTHEAST COMMERCIAL BUSINESSPARK SEC 2,500.0,2300.0,8016 OLD MANOR RD,FRIDAY,Matrix Demolition,76087
Commercial,78704.0,1524 SOUTHPORT DR,LOT 1 35 69 11 OAK RUN 1A LOT AB BLK L SOUTHRIDGE SEC 3  5 RESUB OF LOT 2A  LOT 2 PLUS E TRI OF LOT 3 BLK N SOUTHRIDGE SEC 2,500.0,2000.0,1524 SOUTHPORT DR,FRIDAY,A & R Demolition Operations Account,78617
Residential,78746.0,3341 WESTLAKE DR,LOT 6 LAGUNA TERRERA,0.0,0.0,3341 WESTLAKE DR,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78746.0,3339 WESTLAKE DR,LOT 6 LAGUNA TERRERA,0.0,3000.0,3339 WESTLAKE DR,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78731.0,7704 LONG POINT DR,LOT 11 BLK E VISTA WEST II,0.0,2250.0,7704 LONG POINT DR,FRIDAY,Absolute Demolition Inc. main***,78630
Residential,78722.0,2800 E 22ND ST,,3000.0,952.0,2800 E 22ND ST,FRIDAY,Isark Studio LLC,78757
Residential,78759.0,7411 FIREOAK DR,LOT 3 BLK F OAK FOREST SEC 5A,0.0,0.0,7411 FIREOAK DR,FRIDAY,,78759
Residential,78702.0,2402 E 11TH ST,LOT 15 BLK 4 GRANDVIEW PLACE,0.0,0.0,2402 E 11TH ST,MONDAY,,78741
Residential,78736.0,7103 THOMAS SPRINGS RD,ABS 588 SUR 600 NEPGIN A ACR 8016,0.0,570.0,7103 THOMAS SPRINGS RD,MONDAY,,78737
Residential,78731.0,4620 LAKE VW,LOT 11 BLK S HIGHLAND PARK WEST,16732.0,6154.0,4620 LAKE VW,MONDAY,Southwest Destructors****MAIN***,78763
Residential,78731.0,3508 MOUNT BONNELL RD,LOT 12 BLK A MOUNT BONNELL TERRACE SEC 1,22165.0,4105.0,3508 MOUNT BONNELL RD,MONDAY,Southwest Destructors****MAIN***,78763
Residential,78751.0,5107 AVENUE H,LOT 2325  N 5FT OF LOT 26 BLK 15 HIGHLANDS THE,2000.0,1152.0,5107 AVENUE H,THURSDAY,,78732
Commercial,78756.0,5603 ADAMS AVE,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,10000.0,0.0,5603 ADAMS AVE,MONDAY,BAD Company,78642
Commercial,78756.0,5603 ADAMS AVE,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,10000.0,0.0,5603 ADAMS AVE,MONDAY,BAD Company,78642
Commercial,78756.0,5603 ADAMS AVE,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,10000.0,0.0,5603 ADAMS AVE,MONDAY,BAD Company,78642
Commercial,78756.0,5603 ADAMS AVE,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,10000.0,0.0,5603 ADAMS AVE,MONDAY,BAD Company,78642
Commercial,78756.0,5453 BURNET RD,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,0.0,0.0,5453 BURNET RD,MONDAY,BAD Company,78642
Commercial,78756.0,5453 BURNET RD,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,0.0,0.0,5453 BURNET RD,MONDAY,BAD Company,78642
Commercial,78756.0,5510 CLAY AVE,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,0.0,0.0,5510 CLAY AVE,WEDNESDAY,BAD Company,78642
Commercial,78756.0,5600 CLAY AVE,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,0.0,0.0,5600 CLAY AVE,MONDAY,BAD Company,78642
Commercial,78756.0,5600 CLAY AVE,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,0.0,0.0,5600 CLAY AVE,MONDAY,BAD Company,78642
Commercial,78756.0,5600 CLAY AVE,06379 AC OF LOTS 1314 LOT 1112  2628 BLK 2 BROADACRES,0.0,0.0,5600 CLAY AVE,MONDAY,BAD Company,78642
Residential,78756.0,1302 NORTH ST,LOT 7 BLK B GEORGIAN TERRACE,0.0,906.0,1302 NORTH ST,THURSDAY,Absolute Demolition Inc. main***,78630
Residential,78745.0,7509 MENCHACA RD,ABS 6 SUR 19 CANNON W ACR 28880,0.0,1200.0,7509 MANCHACA RD,TUESDAY,"Fatter & Evans Architects, Inc.",78748
Residential,78704.0,2110 FORT VIEW RD,LOT 14B SIMS SUBD RESUB OF LOT 14,0.0,884.0,2110 FORT VIEW RD,WEDNESDAY,MX3 Investments,78756
Residential,78756.0,1403 W 51ST ST,LOT 2 BLK 26 SMITH A F,0.0,722.0,1403 W 51ST ST,WEDNESDAY,Vista Verde Custom Homes,78645
Residential,78756.0,1403 W 51ST ST,LOT 2 BLK 26 SMITH A F,0.0,100.0,1403 W 51ST ST,WEDNESDAY,Vista Verde Custom Homes,78645
Residential,78756.0,1403 W 51ST ST,LOT 2 BLK 26 SMITH A F,0.0,100.0,1403 W 51ST ST,WEDNESDAY,Vista Verde Custom Homes,78645
Residential,78704.0,1704 HETHER ST,,0.0,1435.0,1704 HETHER ST,WEDNESDAY,"Jett Abram, LLC",78704
Residential,78757.0,8602 MELSHIRE DR,LOT 2 BLK E NORTHWEST TERRACE SEC 3,0.0,261.0,8602 MELSHIRE DR,FRIDAY,Dirty Works Hauling,78763
Residential,78756.0,5601 JIM HOGG AVE,,5000.0,752.0,5601 JIM HOGG AVE,WEDNESDAY,Cape-Tex Construction Inc,78756
Residential,78756.0,5601 JIM HOGG AVE,,1000.0,560.0,5601 JIM HOGG AVE,WEDNESDAY,Cape-Tex Construction Inc,78756
Residential,78705.0,603 W 30TH ST,LOT 4 BLK 2A OLT 72 DIV D HARPERS RESUB,0.0,1056.0,603 W 30TH ST,MONDAY,"Wellborn Constructin & Foundation, Inc.",78733
Residential,78705.0,603 W 30TH ST,LOT 4 BLK 2A OLT 72 DIV D HARPERS RESUB,0.0,324.0,603 W 30TH ST,MONDAY,"Wellborn Constructin & Foundation, Inc.",78733
Residential,78730.0,5200 DEERWOOD CT,LOT 1 BLK U RIVER PLACE SEC 5 AMENDED PLAT,0.0,570.0,5200 DEERWOOD CT,FRIDAY,Hample Pools And Service,78728
Residential,78704.0,2400 OAK HAVEN CIR,LOT 7  SE TRI OF LOT 8 BLK G BARTON HILLS SEC 1,0.0,1580.0,2400 OAK HAVEN CIR,THURSDAY,Endeavor Custom Homes,78610
Commercial,78741.0,1422 TOWN CREEK DR,LOT 2 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,15000.0,24000.0,1422 TOWN CREEK DR,TUESDAY,A & R Demolition Operations Account,78617
Commercial,78741.0,1510 TOWN CREEK DR,LOT 4 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,5000.0,930.0,1510 TOWN CREEK DR,TUESDAY,A & R Demolition Operations Account,78617
Commercial,78741.0,1510 TOWN CREEK DR,LOT 4 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,5000.0,1610.0,1510 TOWN CREEK DR,TUESDAY,A & R Demolition Operations Account,78617
Commercial,78741.0,1510 TOWN CREEK DR,LOT 4 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,5000.0,650.0,1510 TOWN CREEK DR,TUESDAY,A & R Demolition Operations Account,78617
Commercial,78741.0,1504 TOWN CREEK DR,LOT 4 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,4000.0,2430.0,1504 TOWN CREEK DR,TUESDAY,A & R Demolition Operations Account,78617
Commercial,78741.0,1504 TOWN CREEK DR,LOT 4 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,4000.0,300.0,1504 TOWN CREEK DR,TUESDAY,A & R Demolition Operations Account,78617
Commercial,78741.0,1504 TOWN CREEK DR,LOT 4 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,4000.0,570.0,1504 TOWN CREEK DR,TUESDAY,A & R Demolition Operations Account,78617
Commercial,78741.0,1504 TOWN CREEK DR,LOT 4 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,4000.0,1090.0,1504 TOWN CREEK DR,TUESDAY,A & R Demolition Operations Account,78617
Commercial,78741.0,1930 E RIVERSIDE DR,LOT 2 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,25000.0,2400.0,1930 E RIVERSIDE DR,TUESDAY,A & R Demolition Operations Account,78617
Residential,78702.0,3018 E 16TH ST,LOT 10 BLK 1 OLT 27 DIV B MCKINLEY HEIGHTS NO 2,0.0,319.0,3018 E 16TH ST,WEDNESDAY,,78723
Residential,78751.0,4914 BENNETT AVE,E190 FT OF LOT 14 BLK P RIDGETOP,0.0,988.0,4914 BENNETT AVE,WEDNESDAY,,78751 2724
Residential,78704.0,1703 DEXTER ST,LOT 3437 BLK E BARTON HEIGHTS,0.0,1349.0,1703 DEXTER ST,THURSDAY,DAR Construction,78714-2028
Residential,78703.0,2200 BONITA ST,LOT 183A BLK A TARRYTOWN OAKS AMENDED PLAT OF LOTS 180184,0.0,1467.0,2200 BONITA ST,WEDNESDAY,Gossett and Jones Homes Inc.,78703
Residential,78704.0,909 W JOHANNA ST,,0.0,875.0,909 W JOHANNA ST,THURSDAY,Absolute Demolition Inc. main***,78630
Residential,78704.0,909 W JOHANNA ST,,0.0,160.0,909 W JOHANNA ST,THURSDAY,Absolute Demolition Inc. main***,78630
Residential,78702.0,1603 CHICON ST,N 59 OF LOT 10 BLK 3 OLT 35 DIV B CROWS SUBD,0.0,903.0,1603 CHICON ST,FRIDAY,Elite Demolition,78641
Commercial,78759.0,4302 ACROPOLIS CT,LOT 12 BLK A DUVAL VILLAS,20000.0,0.0,4302 ACROPOLIS CT,THURSDAY,Joseph Companies,78703
Residential,78704.0,700 W ANNIE ST,LOT 3 BOULDIN ADDN AMENDED PLAT OF THE RESUB OF LOTS 13 BLK 5,5000.0,1680.0,700 W ANNIE ST,FRIDAY,David Weekley Homes (MAIN),78758
Residential,78722.0,1409 E 34TH ST,LOT 11 LESS N 5FT BLK 1 OLT 30 DIV C UPLAND ADDN,0.0,1124.0,1409 E 34TH ST,WEDNESDAY,Waterlily Homes LLC,78756
Residential,78722.0,1409 E 34TH ST,LOT 11 LESS N 5FT BLK 1 OLT 30 DIV C UPLAND ADDN,0.0,336.0,1409 E 34TH ST,WEDNESDAY,Waterlily Homes LLC,78756
Residential,78704.0,2119 GLENDALE PL,LOT 4 BLK 38 TRAVIS HEIGHTS,0.0,1812.0,2119 GLENDALE PL,THURSDAY,Absolute Demolition Inc. main***,78630
Residential,78702.0,1412 HARVEY ST,LOT 2 GOODLAND SUBD,0.0,624.0,1412 HARVEY ST,FRIDAY,"PHILIP HOGAN, INC- Hogan Demolition Co.",78642
Residential,78702.0,2010 ROSEWOOD AVE,S9866FT OF LOT 5 BLK 2 OLT 58 DIV B FOSTER SUBD,0.0,1375.0,2010 ROSEWOOD AVE,THURSDAY,,78748
Residential,78703.0,2105 HARTFORD RD,LOT 18 LESS E 5 FT PEASE ESTATES SEC 2,0.0,1854.0,2105 HARTFORD RD,WEDNESDAY,"Butterfield Custom Homes, LLC",78716
Residential,78757.0,5907 WOODVIEW AVE,LOT 137 ALLANDALE SEC 1,0.0,1535.0,5907 WOODVIEW AVE,THURSDAY,DAR Construction,78714-2028
Residential,78703.0,1703 MOHLE DR,W 55 FT OF LOT 2 BLK 3 BRYKERWOODS C,0.0,1394.0,1703 MOHLE DR,THURSDAY,DAR Construction,78714-2028
Residential,78704.0,704 W ANNIE ST,LOT 1 BOULDIN ADDN AMENDED PLAT OF THE RESUB OF LOTS 13 BLK 5,5000.0,1484.0,704 W ANNIE ST,FRIDAY,David Weekley Homes (MAIN),78758
Residential,78731.0,4904 WEST PARK DR,N39FT OF LOT 35  S27FT OF LOT 36 HIGHLAND VILLAGE SEC 1,8000.0,767.0,4904 WEST PARK DR,FRIDAY,David Weekley Homes (MAIN),78758
Residential,78744.0,2226 PALMERA CV,LOT 25 BLK A PEPPERTREE PARK SEC 1,0.0,0.0,2226 PALMERA CV,TUESDAY,,78745
Residential,78744.0,2226 PALMERA CV,LOT 25 BLK A PEPPERTREE PARK SEC 1,0.0,96.0,2226 PALMERA CV,TUESDAY,,78745
Residential,78744.0,2226 PALMERA CV,LOT 25 BLK A PEPPERTREE PARK SEC 1,0.0,160.0,2226 PALMERA CV,TUESDAY,,78745
Residential,78733.0,2200 LAURANNE LN,LOT 29 BLK B RIO ROBLES SEC 2,0.0,4833.0,2200 LAURANNE LN,FRIDAY,"Echelon Homes /DBA:Grayson Contractors, Inc.",78738
Residential,78731.0,4304 CAT HOLLOW DR,LOT 12 BLK J NORTHWEST HILLS SEC 7,0.0,544.0,4304 CAT HOLLOW DR,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78703.0,1709 W 32ND ST,LOT 15 BLK 3 BRYKERWOODS F,0.0,1128.0,1709 W 32ND ST,FRIDAY,Dawson Lupul Builders *MAIN*,78759
Residential,78704.0,1705 DEXTER ST,LOT 3435 BLK E BARTON HEIGHTS,0.0,1518.0,1705 DEXTER ST,THURSDAY,DAR Construction,78714-2028
Residential,78704.0,1705 DEXTER ST,LOT 3435 BLK E BARTON HEIGHTS,0.0,1260.0,1705 DEXTER ST,THURSDAY,DAR Construction,78714-2028
Residential,78745.0,7506 WOOD CLIFF DR,LOT 1 RESUB OF LTS 1516 BLK F ELMWOOD ESTATES,0.0,740.0,7506 WOOD CLIFF DR,MONDAY,,78628
Residential,78757.0,1715 DARTMOUTH AVE,LOT 36 BLK W CRESTVIEW ADDN SEC 9,0.0,1119.0,1715 DARTMOUTH AVE,WEDNESDAY,DAR Construction,78714-2028
Residential,78757.0,1200 ARCADIA AVE,,0.0,930.0,1200 ARCADIA AVE,THURSDAY,DAR Construction,78714-2028
Residential,78757.0,1200 ARCADIA AVE,,0.0,600.0,1200 ARCADIA AVE,WEDNESDAY,DAR Construction,78714-2028
Residential,78704.0,2932 KASSARINE PASS,LOT 40 BLK C HORSESHOE BEND SEC 3 AMENDED REVISED,0.0,2032.0,2932 KASSARINE PASS,TUESDAY,"Ranserve, Inc.",78733
Residential,78702.0,2115 HASKELL ST,,0.0,430.0,2115 HASKELL ST,TUESDAY,"Vallejo Construction Services, Inc.",78719
Residential,78748.0,3329 DAVIS LN,LOT 2B HARRIS RANCH II RESUB OF LOT 2,0.0,5230.0,3329 DAVIS LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78748.0,3329 DAVIS LN,LOT 2B HARRIS RANCH II RESUB OF LOT 2,0.0,2639.0,3329 DAVIS LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78748.0,3329 DAVIS LN,LOT 2B HARRIS RANCH II RESUB OF LOT 2,0.0,1932.0,3329 DAVIS LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78748.0,3329 DAVIS LN,LOT 2B HARRIS RANCH II RESUB OF LOT 2,0.0,439.0,3329 DAVIS LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78748.0,3329 DAVIS LN,LOT 2B HARRIS RANCH II RESUB OF LOT 2,0.0,330.0,3329 DAVIS LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78748.0,3329 DAVIS LN,LOT 2B HARRIS RANCH II RESUB OF LOT 2,0.0,220.0,3329 DAVIS LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78721.0,1142 MASON AVE,LOT 1 BLK 2 MASONFIELD,500.0,624.0,1142 MASON AVE,WEDNESDAY,"CAPITAL CITY BUILDERS, LLC",78630
Commercial,78705.0,1009 W 26TH ST,LOT 2527 BLK 6 OLT 54 DIV D HARWOOD SUBD PLUS ONE HALF ADJ VAC ST,500.0,1400.0,1009 W 26TH ST,WEDNESDAY,A & R Demolition Operations Account,78617
Commercial,78703.0,705 N LAMAR BLVD,LOT 711 BLK E OLT 2 DIV Z RAYMOND SUBD,500.0,4729.0,705 N LAMAR BLVD,WEDNESDAY,AAR Inc.,78642
Commercial,78703.0,705 N LAMAR BLVD,LOT 711 BLK E OLT 2 DIV Z RAYMOND SUBD,500.0,4798.0,705 N LAMAR BLVD,WEDNESDAY,AAR Inc.,78642
Commercial,78703.0,705 N LAMAR BLVD,LOT 711 BLK E OLT 2 DIV Z RAYMOND SUBD,500.0,914.0,705 N LAMAR BLVD,WEDNESDAY,AAR Inc.,78642
Residential,78703.0,2402 PRUETT ST,LOT 9 BLK B TIMBERLAKE ADDN,0.0,0.0,2402 PRUETT ST,WEDNESDAY,Faglie House Moving*inactive*,78605
Residential,78756.0,5800 BULL CREEK RD,LOT 5 ALLANDALE SEC 3,0.0,1148.0,5800 BULL CREEK RD,WEDNESDAY,DAR Construction,78714-2028
Residential,78703.0,709 NEWMAN DR,LOT 8 COLLEYS HENRY HOME TRACT,0.0,1080.0,709 NEWMAN DR,MONDAY,Nalle Custom Homes Inc.,78612
Residential,78703.0,709 NEWMAN DR,LOT 8 COLLEYS HENRY HOME TRACT,0.0,360.0,709 NEWMAN DR,MONDAY,Nalle Custom Homes Inc.,78612
Residential,78704.0,1701 BRACKENRIDGE ST,LOT 8  N PART OF LOT 9 FAIRVIEW PARK,0.0,0.0,1701 BRACKENRIDGE ST,MONDAY,"Premier Partners Homes, LLC",78734
Residential,78704.0,2504 S 4TH ST,LOT 9 BLK B LA PERLA,0.0,0.0,2504 S 4TH ST,WEDNESDAY,,78704
Commercial,78745.0,4355 S CONGRESS AVE,,500.0,8144.0,4355 S CONGRESS AVE,MONDAY,DAR Construction,78714-2028
Residential,78751.0,940 E 50TH ST,LOT 17 BLK K RIDGETOP,0.0,0.0,940 E 50TH ST,FRIDAY,Square Business Investments,78725
Residential,78751.0,936 E 50TH ST,LOT 19 BLK K RIDGETOP,0.0,0.0,936 E 50TH ST,FRIDAY,Square Business Investments,78725
Residential,78751.0,934 E 50TH ST,LOT 20 BLK K RIDGETOP,0.0,0.0,934 E 50TH ST,FRIDAY,Square Business Investments,78725
Residential,78722.0,2807 LAFAYETTE AVE,LOT 4 BLK 2 OLT 272831 DIV C NOWLIN HEIGHTS,0.0,0.0,2807 LAFAYETTE AVE,FRIDAY,Deville Custom Homes,78738
Residential,78702.0,1127 1/2 GUNTER ST,,0.0,896.0,1127 1/2 GUNTER ST,MONDAY,,78702-3150
Residential,78703.0,1905 SHARON LN,LOT 10 BLK 2 WARD  TREADWELL,0.0,1304.0,1905 SHARON LN,MONDAY,MACI Homes,78757
Residential,78704.0,1806 ASHBY AVE,LOT 1 BLK D SOUTH LUND SOUTH,0.0,240.0,1806 ASHBY AVE,MONDAY,"Ranserve, Inc.",78733
Residential,78704.0,2100 LA CASA DR,S 14652 LOT 14 BLK 14 RABB INWOOD HILLS,1000.0,360.0,2100 LA CASA DR,MONDAY,"AYS Capital & Renovation, LLC",78664
Residential,78703.0,2110 NEWFIELD LN,LOT 9 LESS W 1529 FT AV ENFIELD G,0.0,324.0,2110 NEWFIELD LN,MONDAY,,78703
Commercial,78731.0,4909 FM 2222 RD,LOT 4 BLK A BULL CREEK PUD SUBD 1D1W,0.0,2320.0,4909 FM 2222 RD,TUESDAY,Charles N White Construction Company,
Commercial,78701.0,710 E 3RD ST,LOT 18 BLOCK 036 ORIGINAL CITY,5000.0,0.0,702 E 3RD ST,MONDAY,MST Construction Inc.,78731
Commercial,78701.0,710 E 3RD ST,LOT 18 BLOCK 036 ORIGINAL CITY,5000.0,0.0,702 E 3RD ST,MONDAY,MST Construction Inc.,78731
Commercial,78701.0,710 E 3RD ST,LOT 18 BLOCK 036 ORIGINAL CITY,5000.0,0.0,702 E 3RD ST,MONDAY,MST Construction Inc.,78731
Commercial,78734.0,2703 LONG BOW TRL,LOT 899  LESS 146AC OF APACHE SHORES SEC 2,5000.0,400.0,2703 LONG BOW TRL,WEDNESDAY,Bratton Construction Specialties,78734
Residential,78705.0,1917 DAVID ST,LOT 18 BLK 2 OLT 2628 DIV D CARRINGTON SUBD,0.0,2331.0,1917 DAVID ST,WEDNESDAY,Real Estate,78713
Residential,78705.0,1917 DAVID ST,LOT 18 BLK 2 OLT 2628 DIV D CARRINGTON SUBD,0.0,750.0,1917 DAVID ST,WEDNESDAY,Real Estate,78713
Commercial,78703.0,407 N LAMAR BLVD,46 X 37 FT AV OF LOT 12 BLK 4 OLT 11 DIV Z RAYMONDS PLATEAU,0.0,0.0,407 N LAMAR BLVD,THURSDAY,AAR Inc.,78642
Residential,78703.0,3406 EXPOSITION BLVD,,0.0,1562.0,3406 EXPOSITION BLVD,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78703.0,3406 EXPOSITION BLVD,,0.0,480.0,3406 EXPOSITION BLVD,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78730.0,1505 MANANA ST,LOT 3 PHILIPS RANCH ADDN ON LAKE AUSTIN,0.0,2677.0,1505 MANANA ST,THURSDAY,DAR Construction,78714-2028
Residential,78702.0,2003 E 9TH ST,LOT 2 BLK 21 GRANDVIEW PLACE,0.0,630.0,2003 E 9TH ST,MONDAY,Square Business Investments,78725
Residential,78702.0,1902 E 8TH ST,W 10FT OF LOT 14  E 3535FT OF LOT 15 BLK 20 GRANDVIEW PLACE,0.0,624.0,1902 E 8TH ST,TUESDAY,,78757
Residential,78704.0,2604 FOXGLEN DR,LOT 4 BLK C BARTON HILLS SEC 6,0.0,600.0,2604 FOXGLEN DR,FRIDAY,,78704
Residential,78702.0,2113 PENNSYLVANIA AVE,,0.0,552.0,2113 PENNSYLVANIA AVE,WEDNESDAY,Nice Girls Buy Houses LLC,78756-3217
Residential,78703.0,3003 BEVERLY RD,S 3067 FT OF LOT 5  N 30 FT OF LOT 6 BLK 3 BRYKERWOODS F,5000.0,1036.0,3003 BEVERLY RD,MONDAY,DAR Construction,78714-2028
Residential,78704.0,1708 NEWTON ST,LOT 5  S 2465 OF LOT 4 BLK 3B NEWNING  WARNERS SUBD,0.0,0.0,1708 NEWTON ST,FRIDAY,"Huffman Enterprises, Inc.",78704
Commercial,78756.0,5304 N LAMAR BLVD,09833AC OF LOT A BEDNAR ADDN II  10845AC OF LOT 1  25829AC OF LOT 2 BLK A BEDNAR ADDN III,10000.0,0.0,5304 N LAMAR BLVD,TUESDAY,Robles Service Group,78108
Commercial,78756.0,5406 N LAMAR BLVD,09833AC OF LOT A BEDNAR ADDN II  10845AC OF LOT 1  25829AC OF LOT 2 BLK A BEDNAR ADDN III,10000.0,0.0,5406 N LAMAR BLVD,TUESDAY,Robles Service Group,78108
Commercial,78756.0,5406 N LAMAR BLVD,09833AC OF LOT A BEDNAR ADDN II  10845AC OF LOT 1  25829AC OF LOT 2 BLK A BEDNAR ADDN III,10000.0,0.0,5406 N LAMAR BLVD,TUESDAY,Robles Service Group,78108
Commercial,78756.0,5406 N LAMAR BLVD,09833AC OF LOT A BEDNAR ADDN II  10845AC OF LOT 1  25829AC OF LOT 2 BLK A BEDNAR ADDN III,10000.0,0.0,5406 N LAMAR BLVD,TUESDAY,Robles Service Group,78108
Commercial,78756.0,5300 N LAMAR BLVD,09833AC OF LOT A BEDNAR ADDN II  10845AC OF LOT 1  25829AC OF LOT 2 BLK A BEDNAR ADDN III,10000.0,0.0,5300 N LAMAR BLVD,TUESDAY,Robles Service Group,78108
Commercial,78756.0,5300 N LAMAR BLVD,09833AC OF LOT A BEDNAR ADDN II  10845AC OF LOT 1  25829AC OF LOT 2 BLK A BEDNAR ADDN III,10000.0,0.0,5300 N LAMAR BLVD,TUESDAY,Robles Service Group,78108
Residential,78704.0,1808 LARCHMONT DR,LOT 19 BLK B BARTON OAKS,5000.0,1503.0,1808 LARCHMONT DR,FRIDAY,DAR Construction,78714-2028
Residential,78704.0,900 BLUEBONNET LN,LOT 2C RESUB OF LOT 12 SOUTH LUND PARK SEC 2,1500.0,3331.0,900 BLUEBONNET LN,THURSDAY,TM Tree Trimming,
Residential,78704.0,900 BLUEBONNET LN,LOT 2C RESUB OF LOT 12 SOUTH LUND PARK SEC 2,10000.0,648.0,900 BLUEBONNET LN,THURSDAY,TM Tree Trimming,
Residential,78703.0,1200 NORWALK LN,,0.0,675.0,1200 NORWALK LN,WEDNESDAY,Sierra Demolition,78683
Residential,78731.0,4717 BULL CREEK RD,LOT 1 BLK A RESUB OF BL A FISET PLACE,0.0,1680.0,4717 BULL CREEK RD,TUESDAY,MX3 Investments,78756
Residential,78751.0,703 E 46TH ST,LOT 2 BLK 2 OLT 16 DIV C RIDGETOP ANNEX,2000.0,400.0,703 E 46TH ST,FRIDAY,Larry Anderson Construction,78703
