Permit Class Mapped,Original Zip,Original Address,Property Legal Description,Total Job Valuation,Total Existing Bldg SQFT,Project Name,Day Issued,Contractor Company Name,Contractor Zip
Residential,78722.0,2908 BREEZE TER,LOT 23 BLK 7 OLT 31 DIV C FOREST HILLS SUBD,2000.0,875.0,2908 BREEZE TER,FRIDAY,,78722
Residential,78744.0,5603 VINE HILL DR,LOT 6 BLK N ONION CREEK FOREST SEC 2 AMENDED,500.0,0.0,5603 VINE HILL DR,THURSDAY,A & R Demolition Operations Account,78617
Residential,78744.0,6802 ONION CREEK DR,LOT 2 BLK C ONION CREEK FOREST SEC 1,500.0,0.0,6802   ONION CREEK DR,THURSDAY,A & R Demolition Operations Account,78617
Residential,78756.0,1509 W 40TH ST,LOT 8 BLK B SHOALCREST OAKS,3000.0,400.0,1509 W 40TH ST,FRIDAY,"Mid City Homes, Inc.",78704
Residential,78758.0,1406 FAIRFIELD DR,LOT 14 BLK G WOOTEN VILLAGE SEC 4,0.0,0.0,1406 FAIRFIELD DR,THURSDAY,BARRIOS JUAN A & IRMA G,78758 7246
Residential,78704.0,405 W MONROE ST,LOT 8 BLK A BECKERS GUS F SUBD,450.0,840.0,405 W MONROE ST,THURSDAY,,
Residential,78702.0,2108 HASKELL ST,,5000.0,500.0,2108 HASKELL ST,MONDAY,"Stoney Oaks Group, LLC",78736
Residential,78756.0,5703 WILLIAM HOLLAND AVE,LOT 3A BROADACRES RESUB OF LOT 3 BLK 6,1000.0,900.0,5703 JEFF DAVIS AVE,MONDAY,,78628
Residential,78703.0,3508 CLEARVIEW DR,LOT 4  S35FT OF E66FT OF LOT 3 BLK A LAKESHORE VILLAGE,0.0,0.0,3508 CLEARVIEW DR,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78731.0,1905 W 36TH ST,,5000.0,0.0,1905 W 36TH ST,TUESDAY,DAR Construction,78714-2028
Residential,78704.0,1003 S 3RD ST,LOT 6 BLK 4 LINSCOMB  LINSCOMB,0.0,,1003 S 3RD ST,FRIDAY,"Sandollar Enterprises, Inc.",78738
Commercial,78701.0,320 E 6TH ST,E 2147FT LOT 5 BLOCK 067 ORIGINAL CITY TOTAL SQ FT 2748,5000.0,0.0,320 E 6TH ST,TUESDAY,D.A.R Construction MAIN,78714-2028
Commercial,78702.0,2235 E 6TH ST,,30000.0,23289.0,2225 E 6TH ST,TUESDAY,Philip Hogan Inc DBA Hogan Demolition Co.,78642
Commercial,78705.0,2819 RIO GRANDE ST,LOT 1113 BLK 3 OLT 68 DIVISION D,40000.0,45000.0,2819 RIO GRANDE ST,THURSDAY,"Total Demolition, Inc.",78617
Residential,78705.0,804 W 30TH HALF ST,LOT 12 OLT 7275 DIV D OAKWOOD,500.0,380.0,804 W 30TH HALF ST,WEDNESDAY,,
Residential,78704.0,803 GARNER AVE,LOT 2931 BLK B BARTON HEIGHTS,10000.0,0.0,803 GARNER AVE,MONDAY,Melde Construction Company (Main),78701
Commercial,78701.0,208 NUECES ST,LOT 58 BLOCK 188 ORIGINAL CITY,0.0,0.0,208 NUECES ST,FRIDAY,Embree Group,78704
Commercial,78704.0,300 S LAMAR BLVD SB,ABS 8 SUR 20 DECKER I ACR 178,130000.0,78000.0,300 S LAMAR BLVD,TUESDAY,A & R Demolition Operations Account,78617
Residential,78704.0,608 TERRELL HILL DR,CEN 45FT OF LOT 2 BLK 2 LOVELESS ADDN,5000.0,0.0,608 TERRELL HILL DR,THURSDAY,,
